"cbo_2002","grupo_cargo","n","TITULO"
391145,"Operational",2,"Analista de planejamento de manutenção"
391205,"Outros",125,"Inspetor de qualidade"
391210,"Support",370,"Técnico de garantia da qualidade"
391215,"Operational",15,"Operador de inspeção de qualidade"
391220,"Outros",7,"Técnico de painel de controle"
395105,"Operational",32,"Técnico de apoio em pesquisa e desenvolvimento (exceto agropecuário e florestal)"
410105,"Strategic",15528,"Supervisor administrativo"
410205,"Strategic",29,"Supervisor de almoxarifado"
410210,"Strategic",75,"Supervisor de câmbio"
410215,"Strategic",89,"Supervisor de contas a pagar"
410220,"Strategic",47,"Supervisor de controle patrimonial"
410225,"Strategic",5886,"Supervisor de crédito e cobrança"
410230,"Strategic",10,"Supervisor de orçamento"
410235,"Strategic",1758,"Supervisor de tesouraria"
410240,"Strategic",17,"Supervisor de logística"
411005,"Operational",57630,"Auxiliar de escritório"
411010,"Operational",107698,"Assistente administrativo"
411015,"Operational",16,"Atendente de judiciário"
411020,"Operational",14,"Auxiliar de judiciário"
411025,"Outros",1,"Auxiliar de cartório"
411030,"Operational",436,"Auxiliar de pessoal"
411035,"Support",1,"Auxiliar de estatística"
411040,"Operational",40,"Auxiliar de seguros"
411050,"Operational",718,"Agente de microcrédito"
412105,"Outros",1,"Datilógrafo"
412110,"Outros",13,"Digitador"
412115,"Support",10,"Operador de mensagens de telecomunicações (correios)"
412120,"Strategic",88,"Supervisor de digitação e operação"
412205,"Outros",1061,"Contínuo"
413105,"Operational",426,"Analista de folha de pagamento"
413110,"Operational",5272,"Auxiliar de contabilidade"
413115,"Operational",53,"Auxiliar de faturamento"
413205,"Support",145002,"Atendente de agência"
413210,"Operational",81626,"Caixa de banco"
413215,"Operational",198,"Compensador de banco"
413220,"Operational",447,"Conferente de serviços bancários"
413225,"Strategic",5481,"Escriturário de banco"
413230,"Operational",312,"Operador de cobrança bancária"
414105,"Support",251,"Almoxarife"
414110,"Support",14,"Armazenista"
414120,"Outros",1,"Conferente mercadoria (exceto carga e descarga)"
414135,"Support",1,"Expedidor de mercadorias"
414140,"Support",4,"Auxiliar de logistica"
414205,"Outros",1,"Apontador de mão-de-obra"
414210,"Outros",3,"Apontador de produção"
414215,"Outros",3,"Conferente de carga e descarga"
415105,"Operational",108,"Arquivista de documentos"
415115,"Operational",2,"Codificador de dados"
415205,"Outros",6,"Carteiro"
420105,"Strategic",3171,"Supervisor de caixas e bilheteiros (exceto caixa de banco)"
420110,"Strategic",163,"Supervisor de cobrança"
420125,"Strategic",14,"Supervisor de recepcionistas"
420130,"Strategic",21,"Supervisor de telefonistas"
420135,"Strategic",373,"Supervisor de telemarketing e atendimento"
421105,"Support",113,"Atendente comercial (agência postal)"
421125,"Operational",15725,"Operador de caixa"
421205,"Outros",3,"Recebedor de apostas (loteria)"
421305,"Operational",14,"Cobrador externo"
421310,"Operational",1471,"Cobrador interno"
422105,"Support",1759,"Recepcionista, em geral"
422110,"Outros",31,"Recepcionista de consultório médico ou dentário"
422115,"Outros",1,"Recepcionista de seguro saúde"
422120,"Outros",2,"Recepcionista de hotel"
422125,"Support",253,"Recepcionista de banco"
422205,"Support",460,"Telefonista"
422210,"Outros",3,"Teleoperador"
422305,"Support",18,"Operador de telemarketing ativo"
422310,"Support",1192,"Operador de telemarketing ativo e receptivo"
422315,"Support",604,"Operador de telemarketing receptivo"
422320,"Support",322,"Operador de telemarketing técnico"
423105,"Support",8,"Despachante documentalista"
424110,"Outros",3,"Entrevistador de pesquisa de opinião e mídia"
424125,"Support",3,"Escriturário  em  estatística"
510110,"Outros",5,"Administrador de edifícios"
510205,"Outros",1,"Supervisor de lavanderia"
510310,"Support",30,"Supervisor de vigilantes"
511115,"Outros",21,"Taifeiro (exceto militares)"
511205,"Outros",9,"Fiscal de transportes coletivos (exceto trem)"
511210,"Outros",3,"Despachante de transportes coletivos (exceto trem)"
512105,"Support",46,"Empregado  doméstico  nos serviços gerais"
512115,"Support",11,"Empregado doméstico  faxineiro"
513115,"Outros",5,"Governanta de hotelaria"
513205,"Support",114,"Cozinheiro geral"
513405,"Outros",29,"Garçom"
513425,"Support",839,"Copeiro"
513435,"Outros",3,"Atendente de lanchonete"
514105,"Outros",1,"Ascensorista"
514110,"Outros",7,"Garagista"
514120,"Support",962,"Zelador de edifício"
514205,"Support",49,"Coletor de lixo domiciliar"
514215,"Outros",1,"Varredor de rua"
514225,"Support",533,"Trabalhador de serviços de limpeza e conservação de áreas públicas"
514230,"Outros",5,"Coletor de resíduos sólidos de serviços de saúde"
514305,"Outros",1,"Limpador de vidros"
514310,"Support",374,"Auxiliar de manutenção predial"
514320,"Support",11613,"Faxineiro"
514325,"Support",396,"Trabalhador da manutenção de edificações"
515105,"Outros",6,"Agente comunitário de saúde"
515210,"Outros",1,"Auxiliar de farmácia de manipulação"
515305,"Outros",4,"Educador social"
515320,"Outros",1,"Conselheiro tutelar"
516220,"Outros",6,"Cuidador em saúde"
516320,"Outros",1,"Limpador a seco, à máquina"
516345,"Outros",1,"Auxiliar de lavanderia"
516810,"Outros",1,"Paranormal"
517310,"Support",11,"Agente de segurança"
517330,"Support",224,"Vigilante"
517405,"Outros",25,"Porteiro (hotel)"
517410,"Support",414,"Porteiro de edifícios"
517415,"Support",36,"Agente de portaria"
517420,"Support",219,"Vigia"
519110,"Outros",15,"Motofretista"
519205,"Outros",1,"Catador de material reciclável"
519925,"Outros",1,"Guardador de veículos"
519930,"Outros",5,"Lavador de garrafas, vidros e outros utensílios"
520105,"Operational",73,"Supervisor de vendas de serviços"
520110,"Operational",636,"Supervisor de vendas comercial"
521105,"Outros",23,"Vendedor em comércio atacadista"
521110,"Outros",61,"Vendedor de comércio varejista"
521115,"Operational",116,"Promotor de vendas"
521130,"Outros",4,"Atendente de farmácia - balconista"
521135,"Outros",7,"Frentista"
524105,"Outros",8,"Vendedor em domicílio"
621005,"Outros",26,"Trabalhador agropecuário em geral"
622005,"Outros",6,"Caseiro (agricultura)"
622010,"Outros",3,"Jardineiro"
622015,"Outros",7,"Trabalhador na produção de mudas e sementes"
622420,"Outros",3,"Trabalhador no cultivo de mudas"
622605,"Outros",6,"Trabalhador da cultura de cacau"
622610,"Outros",2,"Trabalhador da cultura de café"
623020,"Outros",4,"Tratador de animais"
623115,"Outros",4,"Trabalhador da pecuária (bovinos leite)"
623120,"Outros",1,"Trabalhador da pecuária (bubalinos)"
630110,"Outros",1,"Supervisor da área florestal"
632125,"Outros",1,"Trabalhador de extração florestal, em geral"
641015,"Outros",4,"Tratorista agrícola"
710205,"Outros",55,"Mestre (construção civil)"
715145,"Outros",44,"Operador de trator de lâmina"
715205,"Outros",10,"Calceteiro"
715210,"Outros",149,"Pedreiro"
715230,"Outros",8,"Pedreiro de edificações"
715305,"Outros",13,"Armador de estrutura de concreto"
715315,"Outros",2,"Armador de estrutura de concreto armado"
715405,"Outros",3,"Operador de betoneira"
715505,"Outros",13,"Carpinteiro"
