cnpj_basico,identificador_matriz_filial,situacao_cadastral,data_situacao_cadastral,data_inicio_atividade,cnae_fiscal_principal,ativa_em_2010,ativa_em_2011,ativa_em_2012,ativa_em_2013,ativa_em_2014,ativa_em_2015,ativa_em_2016,ativa_em_2017,ativa_em_2018,ativa_em_2019,ativa_em_2020,ativa_em_2021,ativa_em_2022
1389651,2,2,2021-02-04,2021-02-04,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
1566038,2,2,2019-07-23,2019-07-23,6424702,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
1635462,2,2,2021-06-27,2021-06-27,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
1658426,2,2,2018-12-19,2018-12-19,6424703,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1
1664968,2,2,2020-07-01,2020-07-01,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
1720488,2,8,2022-12-01,2021-06-09,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1736516,2,2,2021-08-04,2021-08-04,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
1760242,2,2,2019-11-14,2019-11-14,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
2057584,2,2,2020-03-02,2020-03-02,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2173447,2,2,2021-12-30,2021-12-30,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2232383,2,2,2019-12-16,2019-12-16,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
2282709,2,2,2020-07-07,2020-07-07,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2282709,2,2,2021-05-26,2021-05-26,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2282709,2,2,2021-09-22,2021-09-22,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2282709,2,2,2021-01-08,2021-01-08,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2282709,2,2,2019-05-27,2019-05-27,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
2309070,2,2,2022-01-07,2022-01-07,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2335109,2,2,2020-09-23,2020-09-23,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2398976,2,2,2021-01-25,2021-01-25,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2398976,2,2,2021-01-25,2021-01-25,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2446089,2,2,2021-09-17,2021-09-17,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2447120,2,2,2019-07-03,2019-07-03,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
2466552,2,2,2021-05-20,2021-05-20,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2466552,2,2,2021-12-13,2021-12-13,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2493000,2,2,2020-05-06,2020-05-06,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2663426,2,2,2021-12-06,2021-12-06,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2794761,2,2,2021-03-16,2021-03-16,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2844024,2,2,2021-09-20,2021-09-20,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2904125,2,2,2017-11-28,2017-11-28,6424703,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
2904138,2,2,2021-08-17,2021-08-17,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2934201,2,2,2019-12-09,2019-12-09,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
3222753,2,2,2019-12-18,2019-12-18,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
3320525,2,2,2021-09-20,2021-09-20,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
3326437,2,2,2021-04-20,2021-04-20,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
3326437,2,2,2017-05-23,2017-05-23,6424703,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
3326437,2,2,2021-11-18,2021-11-18,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
3419786,2,2,2019-12-02,2019-12-02,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
3419786,2,2,2021-10-18,2021-10-18,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
3459850,2,2,2020-02-12,2020-02-12,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
3459850,2,2,2016-11-09,2016-11-09,6424703,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
3459850,2,2,2020-10-30,2020-10-30,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
3459850,2,2,2020-10-30,2020-10-30,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
3459850,2,2,2020-10-30,2020-10-30,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
3461243,2,2,2020-09-23,2020-09-23,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
3535065,2,2,2021-10-28,2021-10-28,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
3632872,2,2,2020-10-06,2020-10-06,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
3632872,2,2,2020-10-06,2020-10-06,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
3632872,2,2,2020-10-06,2020-10-06,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
3793242,2,2,2019-11-22,2019-11-22,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
3941182,2,2,2020-03-09,2020-03-09,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
3965737,2,2,2019-07-24,2019-07-24,6424702,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
4146333,2,2,2017-09-28,2017-09-28,6424703,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
4247370,2,2,2020-09-11,2020-09-11,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
